is_list,major_name,major_description,studycheck_link,university_link,category,subcategory,major_category,university,location,degree_type,degree_label,language,duration_of_study,rating_amount,rating,recommendation_rate
False,Sport- und Ernährungscoach,"
 Sind dir eine gesunde Lebensweise und Fitness wichtig? Ist Sport für dich mehr als Bewegung? Hast du Interesse daran, Menschen effektiv darin zu unterstützen, sich auf eine gesunde Ernährung umzustellen? Möchtest du aktiv zu einer gesunden und leistungsfähigen Gesellschaft beitragen? Ist Personal Training voll dein Ding? Dann bist du bei uns genau richtig! In unserem dualen Bachelorstudiengang Sport- und Ernährungscoach wirst du Experte für das komplexe Zusammenspiel aus Gesundheit, Sport und Ernährung. In Präsenzphasen an der Hochschule bereiten wir dich in der theoretischen Lehre optimal auf Dein zukünftiges Berufsleben vor. Grundlagen aus der Sportmedizin sind dabei ebenso Thema wie humanbiologisches Fachwissen. Weil effektives Coaching eine Frage von Erfahrung ist, baust du diese schon während des Studiums in den Praxisphasen in deinem Gesundheitsunternehmen auf. Hier entwickelst du anhand von beruflichen Alltagsanforderungen notwendige Fähig- und Fertigkeiten. Dabei profitierst du jederzeit von der Expertise deiner Dozent:innen: Wir bieten dir während deiner vierteljährlichen Unternehmensphasen regelmäßige Onlinelehre an, in der du deine Praxiserfahrung im Unternehmen reflektieren und mit deinen Dozent:innen in Austausch kommen kannst. 
",https://www.studycheck.de/studium/bewegung-und-ernaehrung/eufh-23588,https://www.eufh.de/studiengang/sport-ernaehrungscoach/,Medizin & Gesundheitswesen,Ernährungswissenschaften,Bewegung und Ernährung,"EU|FH – Hochschule für Gesundheit, Soziales & Pädagogik",4 Standorte,B.Sc.,Bachelor of Science,Deutsch,6 Semester,17,3.6,0.76
True,Bewegungscoaching und Gesundheit,"
 Biologie und Physiologie des menschlichen Organismus Angewandte Bewegungs- und Trainingslehre Kraft-, Ausdauer- und Athletiktraining Group Fitness, Functional Training Funktionsgymnastik und Beweglichkeitstraining Diagnostik und Coaching Entspannung und Stressabbau Präventives und therapeutisches Gesundheitstraining Ernährung und Gesundheit Grundlagen der Wirtschaftslehre / des betrieblichen Rechnungswesens / des Marketing Pädagogische, psychologische, soziale Aspekte des Sports Kommunikation und Präsentation     
",https://www.studycheck.de/studium/bewegung-und-gesundheit/dba-23411,https://www.dba-baunatal.de/duales-sportstudium/,Medizin & Gesundheitswesen,Gesundheitswissenschaften,Bewegung und Gesundheit,dba - Deutsche Berufsakademie Sport und Gesundheit,Baunatal,B.A.,Bachelor of Arts,Deutsch,6 Semester,19,4.4,1.0
True,Prävention und Bewegungstherapie in Lebenswelten,"
 1. Semester Einführung Studium & sissenschaftliches Arbeiten Biologische und physiologische Grundlagen Grundlagen der Bewegungs- und Trainingslehre Wirtschaftslehre in der Sport- und Gesundheitsbranche Krafttraining Praxis im Unternehmen  2. Semester Grundlagen der Sportpädagogik, Sportpsychologie und Sportethik Marketing in der Sport- und Gesundheitsbranche Krafttraining Gruppentraining in den Lebenswelten Ausdauertraining Praxis im Partnerunternehmen 3. Semester Gesetzliche Rahmenbedingungen für Prävention und Bewegungstherapie Bewegung und Gesundheit in der Lebenswelt der Kinder und Jugendlichen Belastbarkeit und Gesundheit in der Lebenswelt von Beruf unf Arbeit Funktionsdiagnostik Funktionstraining Praxis im Partnerunternehmen 4. Semester Betriebliches Gesundheitsmanagement Kommunikation und Digitalisierung Bewegung und Gesundheit in der Lebenswelt der Älteren Gesundheitspsychologische Aspekte in den Lebenswelten Bewegungsförderung in Alten- und Pflegeeinrichtungen  Praxis Projekt: Prävention und Bewegungstherapie in Lebenswelten 5. Semester Bewegungstherapie bei chronischen Erkrankungen Betriebliche Gesundheitsförderung Ernährung und Gesundheit in Lebenswelten Psychische Belastungen und Beanspruchung  Return to sport / Return to work Praxis-Projekt: Ernährung und Gesundheit in Lebenswelten 6. Semester Wissenschaftliches Arbeiten (Vertiefung) 3 Wahlpflichtmodule Entspannung und Stressabbau Bachelorarbeit   Schwerpunkte des Studiengangs Bewegung und Gesundheit in der Lebenswelt der Kinder und Jugendlichen Belastbarkeit und Gesundheit in der Lebenswelt von Beruf und Arbeit | Betriebliches Gesundheitsmanagement Bewegung und Gesundheit in der Lebenswelt der Älteren Bewegungsförderung in Alten- und Pflegeeinrichtungen 
",https://www.studycheck.de/studium/praevention-und-gesundheitsfoerderung/dba-24407,https://www.dba-baunatal.de/duales-sportstudium/#bewegungscoaching,Medizin & Gesundheitswesen,Gesundheitswissenschaften,Bewegung und Gesundheit,dba - Deutsche Berufsakademie Sport und Gesundheit,Baunatal,B.A.,Bachelor of Arts,Deutsch,6 Semester,14,4.5,1.0
False,Bewegungspädagogik und Tanz in Sozialer Arbeit,"
 In den praktischen Seminaren werden verschiedene Tanz- und Bewegungsstile vermittelt. Den Schwerpunkt bilden der Zeitgenössische Tanz, Bewegungsstile des New Style, Akrobatik und Parcour. Ebenso erlangen die Studierenden methodisches Wissen in elementarer Bewegungspädagogik, Spielpädagogik und Psychomotorik. Die praktische Ausbildung wird abgerundet durch das Erlangen von Fertigkeiten in Bewegungs- und Tanzimprovisation und choreografischer Gestaltung. Innerhalb verschiedener Aufführungsformate sammeln die Studierenden wertvolle praktische und ästhetische Erfahrungen. Studierende erwerben theoretisches Wissen in Anatomie, Bewegungslehre, Bewegungs- und Tanzpädagogik, in Gestaltungsgrundlagen und Bewegungsphilosophie, um auf dieser Grundlage eine professionelle Identität als Bewegungspädagog*in aufbauen zu können und Adressat*innen gerecht in der Berufspraxis handeln zu lernen. Die theoretische Ausbildung wird ergänzt durch Seminare im Bereich der Musikpädagogik, Gesundheitsbildung und Erlebnispädagogik. 
",https://www.studycheck.de/studium/bewegungspaedagogik/fh-hoffbauer-19677,https://www.fhchp.de/studienangebot/bewegung/,Medizin & Gesundheitswesen,Sport,Bewegungspädagogik,Fachhochschule Clara Hoffbauer Potsdam,Potsdam,B.A.,Bachelor of Arts,Deutsch,9 Trimester,10,3.4,0.8
True,Sport- und Bewegungspädagogik,"
 Der Bachelor-Studiengang an der Uni Erfurt umfasst eine Haupt- und Nebenstudienrichtung (Zwei-Fach-Bachelor) sowie das Studium Fundamentale. 1.–2. Semester Sporttheorie: Sportmedizin Einführung in die Sportwissenschaften Trainingslehre Angewandte Sportwissenschaft: Grundformen der Bewegung Kleine Spiele Gerätturnen Gymnastik/Rhythmik-Tanz Volleyball, Beachvolleyball, Inlineskating, Trampolinsport und andere Unihockey, Triathlon, und andere 3.–6. Semester Sporttheorie: Motorisch-pädagogische Grundlagen Sportförderunterricht Angewandte Sportwissenschaft: Leichtathletik Schwimmen 
",https://www.studycheck.de/studium/bewegungspaedagogik/uni-erfurt-17489,https://www.uni-erfurt.de/studium/studienangebot/bachelor/sport-und-bewegungspaedagogik,Medizin & Gesundheitswesen,Sport,Bewegungspädagogik,Uni Erfurt,Erfurt,B.A.,Bachelor of Arts,Deutsch,6 Semester,12,4.3,1.0
False,Smart Health Sciences,"
 1. Semester Im ersten Semester werden neben mathematischen Grundlagen wesentliche Kenntnisse aus den Gebieten der Medizininformatik und des Hygienemanagements vermittelt. Darüber hinaus ist ein Modul zur Vermittlung von Arbeitsmethoden im Bereich des wissenschaftlichen Schreibens und Arbeitens angesetzt. 2. Semester Im zweiten Semester werden die mikrobiologischen Aspekte des Moduls „Hygienemonitoring und -management“ vertieft. Das Modul „Individualisierte Arzneimittel“ schließt sich an. Das Fach „Authentifikation“ greift Methoden der Detektion und Echtheitserkennung von physischen Objekten auf. Im Modul „Künstliche Intelligenz“ werden zunächst grundlegende Methoden und Ansätze vermittelt, um anschließend Gebiete der KI mit Blick auf das Gesundheitswesen zu adressieren. Im Rahmen zweier wissenschaftlicher Seminare im ersten und zweiten Semester, die als Ringvorlesung mit Seminar organisiert sind, werden wissenschaftliche Themen mit internen und externen Lehrenden diskutiert. Die Themenauswahl wird sich am aktuellen Stand der Wissenschaft und Technologie im Fachgebiet Smart Health Sciences orientieren. 3. und 4. Semester Durch das im 3. Semester angesiedelte Forschungsprojekt erwerben die Studierenden Kenntnisse in der strategischen Projektentwicklung und Erfahrungen bei der Durchführung von Forschungsprojekten innerhalb wissenschaftlicher Arbeitsgruppen. Das Modul dient außerdem zur Vorbereitung auf die Masterarbeit im 4. Semester, in der die Studierenden die erworbene wissenschaftliche Methodik auf komplexe Fragestellungen praxisrelevanter Projekte mit wissenschaftlichem Neuwert anwenden.   
",https://www.studycheck.de/studium/bio-science-and-health/th-owl-25417,https://www.th-owl.de/studium/angebote/studiengaenge/detail/smart-health-sciences/,Medizin & Gesundheitswesen,Gesundheitswissenschaften,Bio Science and Health,Technische Hochschule Ostwestfalen-Lippe,2 Standorte,M.Sc.,Master of Science,"Deutsch, Englisch",4 Semester,0,NA,NA
True,Bioanalytical Chemistry and Pharmaceutical Analysis,"
 Bisher gibt es in Europa jedoch nur wenige Studiengänge mit Schwerpunkt auf dem Gebiet der analytischen Chemie. Das englischsprachige Masterprogramm Bioanalytical Chemistry and Pharmaceutical Analysis an der Hochschule Fresenius bietet vertiefende Kenntnisse der analytischen Verfahren wie beispielsweise Immunoassays oder Massenspektrometrie und ihrer spezifischen Anwendungsfelder.Teilnehmer mit abgeschlossenem Bachelor- oder Diplomstudium erweitern während des Studiums ihr Wissen über unterschiedliche Methoden und deren Anwendung und lernen, diese vergleichend zu betrachten und zu bewerten. Daneben erhalten sie Kenntnisse über die wesentlichen rechtlichen Anforderungen, wie sie für die Entwicklung, Registrierung, Produktion und den Vertrieb von Arzneimitteln relevant sind. Ein weiterer wichtiger Aspekt sind Maßnahmen zur Qualitätssicherung, auch der analytischen Verfahren selbst. In zahlreichen Praxisphasen im Labor können die Studierenden auch selbständig an verschiedenen Projekten arbeiten und Erfahrung mit modernen analytischen Geräten gewinnen. Die Betrachtung von Fallstudien und Exkursionen zu Unternehmen aus der Pharma- und bioanalytischen Branche mit integrierten Workshops runden das Studienprogramm ab und helfen den Studierenden, ein passendes Thema und potentielle Kooperationspartner für die abschließende Master-Thesis zu finden. Diese kann auch im Ausland durchgeführt werden. Schwerpunkte sind:  Analytische Chemie Bioanalytik Pharmazeutische Analytik Klinische und forensische Analytik Forschung und Laborarbeit 
",https://www.studycheck.de/studium/bio-and-pharmaceutical-analysis/hs-fresenius-7781,https://www.hs-fresenius.de/studium/bioanalytical-chemistry-and-pharmaceutical-analysis-master-vollzeitstudium/?crmid=bBcZabNcDaBaCm,Medizin & Gesundheitswesen,Pharmazie & Pharmatechnik,Bio- and Pharmaceutical Analysis,Hochschule Fresenius,Idstein,M.Sc.,Master of Science,Englisch,2 - 3 Semester,2,3.8,1.0
True,Bio-Electrical Engineering,"
 1. Semester: Mikrobiologie Mathematik Interdisziplinäres Praktikum 1 Programmierung eingebetteter Systeme Elektrotechnik 2. Semester: Physiologie und Anatomie Medizinische Physik Interdisziplinäres Praktikum 2 Eingebettete medizinische Systeme Elektronik 3. Semester: Humanpathologie Medizintechnik 1 Medizinische Sensoren und Signalverarbeitung Mess- und Schaltungstechnik Projekt-, Risiko- & Qualitätsmanagement Ökonomie im Gesundheitswesen, Entrepreneurship 4. Semester: Gesundheit, Prävention, Public Health Medizintechnik 2 Biologische Sensoren und Aktoren Kommunikationstechnik SW-Engineering und IT-Systeme Ökonomie im Gesundheitswesen, Entrepreneurship 5. Semester: Praxissemester PLV Gründerprojekt 6. Semester: Wearables und Implantate Medizinrobotik und Geriatronik Bio-Mikroelektromechanische Systeme Projekt Rechtsgrundlagen, Datenschutz, Ethik Fachwissenschaftl. Seminar 7. Semester: Biomechatronik Fachwiss. Wahlpflichtfächer Bachelorarbeit Seminar Bachelorarbeit 
",https://www.studycheck.de/studium/electrical-engineering/thi-24519,https://www.thi.de/elektro-und-informationstechnik/studiengaenge/bio-electrical-engineering-beng/,Medizin & Gesundheitswesen,Gesundheitswissenschaften,Biomedical Engineering,Technische Hochschule Ingolstadt,Ingolstadt,B.Eng.,Bachelor of Engineering,Deutsch,7 Semester,1,4.0,1.0
True,Biomedical Sciences,"
 Wir vermitteln Ihnen das notwendige Know-how in den Bereichen: Mikrobiologie Biotechnologie Bioanalytik Immunologie Außerdem erwerben Sie Kompetenzen in wichtigen angrenzenden Disziplinen. Dazu gehören: Mathematik Physik Chemie 
",https://www.studycheck.de/studium/biomedical-sciences/hs-fresenius-24387,https://www.hs-fresenius.de/studium/biomedical-sciences-bachelor-berufsbegleitend/?crmid=bBcZabNcDaCaBo,Medizin & Gesundheitswesen,Gesundheitswissenschaften,Biomedical Sciences,,Hochschule Fresenius,B.Sc.,Bachelor of Science,Deutsch,6 - 10 Semester,0,NA,NA
True,Molekulare Biomedizin,"
 1. Semester Anorganische Chemie (Vorlesung und Laborkurs) Physik und Physikalische Chemie Mathematik: Grundlagen Statistik und Labormathematik Zellbiologie (Vorlesung und Laborkurs) Biomedizinische Grundlagen: Einführung in die molekulare Biomedizin Studium Generale I: Methoden des wiss. Arbeitens Studium Generale II: English for Life Sciences 2. Semester Organische Chemie (Vorlesung und Laborkurs) Grundlagen der Biometrie: Medizinische Biometrie Biomedizin I: Anatomie u. Histologie (Vorlesung und Laborkurs) Biomedizin II: Biochemie Biomedizin III: Mikrobiologie & Virologie (Vorlesung und Laborkurs) 3. Semester Biomedizin IV: Biochemie und Klinische Chemie (Vorlesung und Laborkurs) Bioinformatik Genetic Engineering I: Molekularbiologie, Genetic, Biotechnologie I Biomedizin V: Physiologie Biomedizin VI: Immunologie und Hämatologie (Vorlesung und Laborkurs) 4. Semester Labortechniken: instrumentelle Analytik/ Zellkulturtechniken/ GMP Allgemeine Krankheitslehre Biomedizin VII: Pharmakologie Genetic Engineering II: Molekularbiologie, Genetik, Biotechnologie II (Vorlesung und Laborkurs) Genetic Engineering II: Molekularbiologie, Genetic, Biotechnologie II (Vorlesung und Laborkurs) Angewandte Biomedizin I: Molekulare Biomedizin I (Vorlesung und Laborkurs) 5. Semester Berufsorientierung I: Grundlagen der Ökonomie, BWL und Recht Berufsorientierung II: Präsentationstechniken/ Arzneimittelentwicklung & klinische Studien, EbM Projektarbeit: wissenschaftliche Projektarbeit 6. Semester Angewandte Biomedizin II (Vorlesung und Laborkurs) Angewandte Bioethik: Bioethik Journal-Club Bachelorprüfung: Bachelor Thesis (inkl. Disputation) 
",https://www.studycheck.de/studium/biomedizin/rfh-koeln-18888,https://www.rfh-koeln.de/studium/studiengaenge/medizinoekonomie/molekulare_biomedizin/kurzprofil/index_ger.html,Medizin & Gesundheitswesen,Medizin,Biomedizin,RFH Köln,Köln,B.Sc.,Bachelor of Science,Deutsch,6 - 7 Semester,18,3.7,0.83
